Year,Team,Position,Goal_Difference,Points,Squad_Size,Average_Age,Number_of_Foreigners,Average_Market_Value,Total_Market_Value
2017,manchester city,1,79,100,32,25.1,22,31.53,1010.0
2017,chelsea fc,5,40,81,46,24.7,33,19.22,884.25
2017,liverpool fc,4,38,77,35,24.9,21,24.5,857.5
2017,manchester united,2,46,75,35,26.1,22,24.27,849.5
2017,tottenham hotspur,3,24,70,34,24.7,22,24.4,829.6
2017,arsenal fc,6,23,63,45,24.8,27,15.42,694.0
2017,everton fc,8,-3,54,48,24.9,30,7.94,381.25
2017,leicester city,9,-14,49,34,26.5,22,8.95,304.25
2017,southampton fc,17,-4,47,29,25.8,16,10.24,297.0
2017,west ham united,13,-8,44,41,25.3,25,6.36,260.6
2017,crystal palace,11,-10,44,41,25.8,23,5.38,220.73
2017,newcastle united,10,-16,44,37,25.4,25,5.63,208.28
2017,watford fc,14,-20,42,37,26.8,28,5.3,196.0
2017,stoke city,19,-20,41,35,26.2,27,5.5,192.45
2017,burnley fc,7,-20,40,30,27.8,16,5.64,169.3
2017,west bromwich albion,20,-30,37,33,26.5,17,5.03,165.95
2017,swansea city,18,-19,36,36,26.3,25,4.6,165.49
2017,brighton & hove albion,15,-28,33,39,26.7,27,3.8,148.2
2017,afc bournemouth,12,-33,33,35,26.0,14,4.13,144.5
2017,huddersfield town,16,-25,31,35,25.6,19,3.03,106.05
2018,manchester city,1,72,98,46,24.3,35,26.16,1200.0
2018,liverpool fc,2,67,97,39,24.7,25,30.06,1170.0
2018,chelsea fc,3,24,72,54,25.6,40,21.6,1170.0
2018,tottenham hotspur,4,28,71,34,25.4,20,26.43,898.6
2018,manchester united,6,22,70,36,25.3,22,22.16,797.6
2018,arsenal fc,5,11,66,42,24.9,28,15.69,659.05
2018,everton fc,8,1,57,40,26.0,28,13.23,529.1
2018,leicester city,9,8,54,37,26.4,27,11.73,434.1
2018,west ham united,10,3,52,37,26.6,24,9.7,359.0
2018,afc bournemouth,14,-3,52,37,25.7,17,8.38,310.0
2018,southampton fc,16,-7,50,40,24.9,19,7.64,305.4
2018,wolverhampton wanderers,7,-2,49,40,24.1,26,7.57,302.9
2018,crystal palace,12,-6,45,36,26.4,21,8.03,289.0
2018,fulham fc,19,-14,45,33,25.7,26,7.7,254.25
2018,newcastle united,13,-23,40,37,26.0,23,6.61,244.65
2018,watford fc,11,-20,39,39,26.2,32,6.13,239.1
2018,burnley fc,15,-25,36,33,28.1,14,5.98,197.25
2018,brighton & hove albion,17,-35,34,41,25.8,29,4.74,194.35
2018,huddersfield town,20,-47,26,33,25.3,21,4.17,137.45
2018,cardiff city,18,-54,16,35,27.3,21,3.23,113.0
2019,manchester city,2,52,99,34,25.1,24,30.84,1050.0
2019,liverpool fc,1,67,81,56,23.3,32,17.9,1000.0
2019,tottenham hotspur,6,30,66,36,24.8,22,22.41,806.8
2019,chelsea fc,4,15,66,36,24.1,23,19.61,705.85
2019,manchester united,3,26,62,43,23.9,25,15.59,670.45
2019,arsenal fc,8,14,59,38,24.3,24,15.99,607.65
2019,everton fc,12,11,59,35,26.0,21,12.02,420.55
2019,leicester city,5,8,56,32,25.9,19,12.85,411.1
2019,wolverhampton wanderers,7,0,54,44,23.1,30,7.28,320.33
2019,west ham united,16,-7,54,38,26.5,26,7.99,303.6
2019,afc bournemouth,18,-9,52,39,24.8,17,6.98,272.18
2019,newcastle united,13,-12,49,41,26.0,23,6.16,252.48
2019,aston villa,17,-20,44,38,25.7,22,6.1,231.7
2019,southampton fc,11,-19,43,36,24.4,20,5.85,210.75
2019,brighton & hove albion,15,-15,41,45,24.7,29,4.46,200.78
2019,watford fc,19,-13,39,43,25.7,28,4.64,199.6
2019,crystal palace,14,-26,35,33,26.8,18,5.74,189.33
2019,burnley fc,10,-25,34,35,26.3,12,4.68,163.88
2019,norwich city,20,-28,34,38,25.5,25,3.82,145.33
2019,sheffield united,9,-49,21,34,27.3,16,4.08,138.6
2020,manchester city,1,51,86,36,24.9,23,29.01,1040.0
2020,liverpool fc,3,29,74,43,24.4,28,22.55,969.65
2020,chelsea fc,4,26,69,39,25.2,23,22.8,889.2
2020,manchester united,2,22,67,39,24.9,24,19.74,770.05
2020,tottenham hotspur,7,18,66,41,24.6,23,17.16,703.5
2020,arsenal fc,8,15,65,42,24.4,27,14.74,619.25
2020,everton fc,10,23,62,44,24.7,26,11.62,511.2
2020,leicester city,5,16,61,40,25.3,26,12.77,510.6
2020,wolverhampton wanderers,13,8,59,38,23.9,32,11.85,450.3
