,Year,Position,Team,Points,xG,xGA,xGD,xGD/90,Average_Market_Value,Total_Market_Value,Normalized_Market_Value
0,2022,1,manchester city,89,78.6,32.1,46.5,1.22,33.7,1150.0,1.0
1,2022,2,arsenal fc,84,71.9,42.0,29.9,0.79,23.83,1000.0,0.8695652173913043
2,2022,3,manchester united,75,67.7,50.4,17.3,0.45,17.67,848.0,0.7373913043478261
3,2022,4,newcastle united,71,72.0,39.6,32.4,0.85,14.25,541.6,0.47095652173913044
4,2022,5,liverpool fc,67,72.6,50.9,21.7,0.57,20.82,811.85,0.7059565217391305
5,2022,6,brighton & hove albion,62,73.3,50.2,23.1,0.61,12.61,529.8,0.460695652173913
6,2022,7,aston villa,61,50.2,52.5,-2.2,-0.06,11.85,509.55,0.44308695652173913
7,2022,8,tottenham hotspur,60,57.0,49.6,7.4,0.2,19.09,649.1,0.5644347826086956
8,2022,9,brentford fc,59,56.7,49.9,6.8,0.18,10.31,371.2,0.3227826086956522
9,2022,10,fulham fc,52,46.2,63.8,-17.6,-0.46,6.28,295.25,0.25673913043478264
10,2022,11,crystal palace,45,39.3,48.1,-8.8,-0.23,8.28,323.05,0.2809130434782609
11,2022,12,chelsea fc,44,49.5,52.5,-3.0,-0.08,23.14,994.95,0.8651739130434783
12,2022,13,wolverhampton wanderers,41,36.8,59.9,-23.1,-0.61,11.57,497.65,0.43273913043478257
13,2022,14,west ham united,40,49.2,53.0,-3.9,-0.1,10.59,465.75,0.405
14,2022,15,afc bournemouth,39,38.6,63.9,-25.3,-0.67,6.11,287.2,0.2497391304347826
15,2022,16,nottingham forest,38,39.3,64.2,-24.9,-0.66,7.53,376.25,0.32717391304347826
16,2022,17,everton fc,36,45.2,65.7,-20.5,-0.54,10.33,413.15,0.35926086956521736
17,2022,18,leicester city,34,50.6,63.4,-12.8,-0.34,12.92,490.8,0.4267826086956522
18,2022,19,leeds united,31,47.4,67.2,-19.8,-0.52,7.34,345.15,0.3001304347826087
19,2022,20,southampton fc,25,37.7,61.0,-23.3,-0.6,9.13,419.95,0.36517391304347824
20,2021,1,manchester city,93,88.7,24.6,64.0,1.68,25.74,1000.0,1.0
21,2021,2,liverpool fc,92,88.7,33.8,54.9,1.45,18.75,918.9,0.9188999999999999
22,2021,3,chelsea fc,74,63.4,33.2,30.1,0.79,20.78,914.5,0.9145
23,2021,4,tottenham hotspur,71,61.2,39.3,21.9,0.58,15.32,689.35,0.68935
24,2021,5,arsenal fc,69,60.5,45.7,14.9,0.39,14.95,613.05,0.61305
25,2021,6,manchester united,58,55.8,53.0,2.8,0.07,17.89,769.15,0.76915
26,2021,7,west ham united,56,51.4,53.5,-2.1,-0.06,9.86,354.9,0.3549
27,2021,8,leicester city,52,47.8,59.3,-11.5,-0.3,13.16,526.55,0.52655
28,2021,9,brighton & hove albion,51,46.2,42.9,3.3,0.09,7.4,318.0,0.318
29,2021,10,wolverhampton wanderers,51,37.5,56.9,-19.4,-0.51,9.92,376.95,0.37695
30,2021,11,newcastle united,49,38.1,57.1,-19.0,-0.5,9.23,313.9,0.31389999999999996
31,2021,12,crystal palace,48,46.4,40.7,5.7,0.15,8.21,271.05,0.27105
